Tanggal,Netto_kg_aktual,Netto_kg_prediksi
2022-04-26,36680.0,63732.535
2022-04-27,24110.0,63724.72
2022-04-28,75730.0,63586.355
2022-04-29,77345.0,63465.742
2022-04-30,77300.0,63299.34
2022-05-01,64865.0,63086.504
2022-05-02,61510.0,62975.49
2022-05-03,4945.0,63030.504
2022-05-04,78920.0,62996.85
2022-05-05,82195.0,62861.805
2022-05-06,83030.0,62818.26
2022-05-07,76155.0,62742.586
2022-05-08,60415.00000000001,62765.844
2022-05-09,64979.99999999999,62899.254
2022-05-10,49490.0,63117.113
2022-05-11,74355.0,63364.434
2022-05-12,71335.0,63631.438
2022-05-13,79230.0,64015.59
2022-05-14,72050.0,64265.19
2022-05-15,45055.0,64489.75
2022-05-16,53050.0,64719.11
2022-05-17,3169.9999999999995,64901.02
2022-05-18,68810.0,64943.098
2022-05-19,70755.0,64887.152
2022-05-20,70940.0,64806.832
2022-05-21,80775.0,64486.426
2022-05-22,66425.0,64199.605
2022-05-23,67150.0,63983.99
2022-05-24,52195.0,63866.473
2022-05-25,82945.0,63813.98
2022-05-26,81920.0,63844.742
2022-05-27,74740.0,64022.723
2022-05-28,90405.0,64314.594
2022-05-29,48760.0,64559.55
2022-05-30,53235.0,64866.94
2022-05-31,67045.0,65176.984
2022-06-01,2790.0,65487.203
2022-06-02,11880.0,65658.625
2022-06-03,33280.0,65733.95
2022-06-04,45915.0,65311.08
2022-06-05,48075.0,64646.11
2022-06-06,34040.0,63807.695
2022-06-07,5110.0,62865.18
2022-06-08,70425.0,61836.625
2022-06-09,73400.0,60738.89
2022-06-10,58425.0,59741.113
2022-06-11,66375.0,58801.656
2022-06-12,70910.0,58068.848
2022-06-13,51425.0,57549.133
2022-06-14,41230.0,57274.43
2022-06-15,48250.0,57240.152
2022-06-16,66525.0,57273.223
2022-06-17,59660.00000000001,57531.633
2022-06-18,86190.0,57631.77
2022-06-19,66915.0,57832.246
2022-06-20,66150.0,58145.234
2022-06-21,26230.0,58529.39
2022-06-22,86060.0,58977.75
2022-06-23,73770.0,59432.926
2022-06-24,83515.0,59952.266
2022-06-25,60150.00000000001,60419.047
2022-06-26,63154.99999999999,60931.38
2022-06-27,62829.99999999999,61479.64
2022-06-28,40030.0,61968.824
2022-06-29,56930.0,62508.035
2022-06-30,59255.0,62918.062
2022-07-01,36125.0,63174.344
2022-07-02,73525.0,63466.12
2022-07-03,64835.00000000001,63601.59
