Tanggal,Netto_kg_aktual,Netto_kg_prediksi
2022-04-26,36680.0,58820.56
2022-04-27,24110.0,58817.76
2022-04-28,75730.0,58667.547
2022-04-29,77345.0,58524.555
2022-04-30,77300.0,58339.65
2022-05-01,64865.0,58121.45
2022-05-02,61510.0,58024.91
2022-05-03,4945.0,58110.848
2022-05-04,78920.0,58101.418
2022-05-05,82195.0,57973.203
2022-05-06,83030.0,57936.77
2022-05-07,76155.0,57873.395
2022-05-08,60415.00000000001,57922.63
2022-05-09,64979.99999999999,58091.098
2022-05-10,49490.0,58343.453
2022-05-11,74355.0,58614.406
2022-05-12,71335.0,58891.332
2022-05-13,79230.0,59277.5
2022-05-14,72050.0,59525.33
2022-05-15,45055.0,59745.918
2022-05-16,53050.0,59966.863
2022-05-17,3169.9999999999995,60128.465
2022-05-18,68810.0,60126.754
2022-05-19,70755.0,60005.766
2022-05-20,70940.0,59859.945
2022-05-21,80775.0,59484.96
2022-05-22,66425.0,59169.598
2022-05-23,67150.0,58954.566
2022-05-24,52195.0,58861.348
2022-05-25,82945.0,58844.49
2022-05-26,81920.0,58915.902
2022-05-27,74740.0,59141.688
2022-05-28,90405.0,59487.277
2022-05-29,48760.0,59781.13
2022-05-30,53235.0,60130.617
2022-05-31,67045.0,60463.72
2022-06-01,2790.0,60775.547
2022-06-02,11880.0,60918.164
2022-06-03,33280.0,60930.156
2022-06-04,45915.0,60400.508
2022-06-05,48075.0,59611.324
2022-06-06,34040.0,58655.82
2022-06-07,5110.0,57620.66
2022-06-08,70425.0,56525.164
2022-06-09,73400.0,55391.94
2022-06-10,58425.0,54408.688
2022-06-11,66375.0,53529.977
2022-06-12,70910.0,52901.215
2022-06-13,51425.0,52515.645
2022-06-14,41230.0,52387.984
2022-06-15,48250.0,52490.695
2022-06-16,66525.0,52633.8
2022-06-17,59660.00000000001,52972.625
2022-06-18,86190.0,53129.336
2022-06-19,66915.0,53371.19
2022-06-20,66150.0,53717.316
2022-06-21,26230.0,54126.516
2022-06-22,86060.0,54578.902
2022-06-23,73770.0,55018.742
2022-06-24,83515.0,55511.246
2022-06-25,60150.00000000001,55955.4
2022-06-26,63154.99999999999,56445.7
2022-06-27,62829.99999999999,56967.36
2022-06-28,40030.0,57426.06
2022-06-29,56930.0,57913.11
2022-06-30,59255.0,58259.88
2022-07-01,36125.0,58447.605
2022-07-02,73525.0,58652.562
2022-07-03,64835.00000000001,58713.54
2022-07-04,54175.0,58654.656
2022-07-05,1740.0,58530.93
2022-07-06,73795.0,58294.3
2022-07-07,83770.0,58007.676
2022-07-08,72165.0,57797.977
2022-07-09,69100.0,57465.355
2022-07-10,63785.0,57253.684
2022-07-11,70285.0,57216.53
2022-07-12,49225.0,57272.88
2022-07-13,82955.0,57385.582
2022-07-14,37020.0,57622.02
2022-07-15,81795.0,57885.555
2022-07-16,86550.0,58123.754
2022-07-17,44635.0,58347.98
2022-07-18,36650.0,58607.418
2022-07-19,29900.0,58729.207
2022-07-20,61534.99999999999,58776.58
2022-07-21,73945.0,58682.6
2022-07-22,80175.0,58616.86
2022-07-23,70885.0,58367.79
2022-07-24,66725.0,58228.395
2022-07-25,68670.0,58151.926
2022-07-26,44065.0,58236.816
2022-07-27,87170.0,58346.035
2022-07-28,66465.0,58499.617
2022-07-29,66050.0,58758.57
2022-07-30,65785.0,58992.887
2022-07-31,48205.0,59234.69
2022-08-01,45890.0,59509.684
2022-08-02,7730.0,59590.555
2022-08-03,74720.0,59521.41
2022-08-04,77000.0,59321.25
2022-08-05,76500.0,59187.22
2022-08-06,74360.0,58841.703
2022-08-07,60720.0,58559.83
2022-08-08,59075.0,58421.812
2022-08-09,21550.0,58377.293
2022-08-10,72635.0,58336.523
2022-08-11,71805.0,58246.32
2022-08-12,76155.0,58214.938
2022-08-13,68835.0,58121.15
2022-08-14,70255.0,58230.7
2022-08-15,69910.0,58275.062
2022-08-16,39590.0,58387.06
2022-08-17,74995.0,58633.26
2022-08-18,75325.0,58884.56
2022-08-19,79465.0,59150.61
2022-08-20,65920.0,59348.23
2022-08-21,64234.99999999999,59546.605
2022-08-22,46230.0,59750.668
2022-08-23,24340.0,59953.215
2022-08-24,73085.0,60042.668
2022-08-25,78145.0,60000.594
2022-08-26,75400.0,59961.016
2022-08-27,65920.0,59791.91
2022-08-28,57140.0,59724.816
2022-08-29,26445.0,59688.746
2022-08-30,35850.0,59611.324
