Tahun,Nama Hari Raya,Label,Tanggal,Hari,Netto_kg
2021,Tahun Baru Masehi,(H),2021-01-01,Friday,59275.0
2021,Tahun Baru Masehi,(+7h),2021-01-08,Friday,42460.0
2021,Imlek,(H),2021-02-12,Friday,12270.0
2021,Imlek,(+7h),2021-02-19,Friday,12270.0
2021,Nyepi,(H),2021-03-14,Sunday,27970.0
2021,Nyepi,(+7h),2021-03-21,Sunday,27970.0
2021,Wafat Isa Almasih,(H),2021-04-02,Friday,50085.0
2021,Wafat Isa Almasih,(+7h),2021-04-09,Friday,64380.0
2021,Hari Buruh,(H),2021-05-01,Saturday,97665.0
2021,Hari Buruh,(+7h),2021-05-08,Saturday,70335.0
2021,Idul Fitri (1),(H),2021-05-13,Thursday,77815.0
2021,Idul Fitri (1),(+7h),2021-05-20,Thursday,77815.0
2021,Idul Fitri (2),(H),2021-05-14,Friday,77815.0
2021,Idul Fitri (2),(+7h),2021-05-21,Friday,77815.0
2021,Waisak,(H),2021-05-26,Wednesday,77815.0
2021,Waisak,(+7h),2021-06-02,Wednesday,46940.0
2021,Idul Adha,(H),2021-07-20,Tuesday,68845.0
2021,Idul Adha,(+7h),2021-07-27,Tuesday,68845.0
2021,1 Muharram,(H),2021-08-10,Tuesday,61035.0
2021,1 Muharram,(+7h),2021-08-17,Tuesday,61035.0
2021,Hari Kemerdekaan,(H),2021-08-17,Tuesday,61035.0
2021,Hari Kemerdekaan,(+7h),2021-08-24,Tuesday,61035.0
2021,Maulid Nabi,(H),2021-10-19,Tuesday,78350.0
2021,Maulid Nabi,(+7h),2021-10-26,Tuesday,78350.0
2021,Natal,(H),2021-12-25,Saturday,63040.0
2022,Tahun Baru Masehi,(H),2022-01-01,Saturday,49310.0
2022,Tahun Baru Masehi,(+7h),2022-01-08,Saturday,71910.0
2022,Imlek,(H),2022-02-01,Tuesday,25390.0
2022,Imlek,(+7h),2022-02-08,Tuesday,78830.0
2022,Nyepi,(H),2022-03-03,Thursday,30355.0
2022,Nyepi,(+7h),2022-03-10,Thursday,34720.0
2022,Wafat Isa Almasih,(H),2022-04-15,Friday,7940.0
2022,Wafat Isa Almasih,(+7h),2022-04-22,Friday,7940.0
2022,Hari Buruh,(H),2022-05-01,Sunday,71325.0
2022,Hari Buruh,(+7h),2022-05-08,Sunday,69405.0
2022,Idul Fitri (1),(H),2022-05-02,Monday,67740.0
2022,Idul Fitri (1),(+7h),2022-05-09,Monday,81370.0
2022,Idul Fitri (2),(H),2022-05-03,Tuesday,70830.0
2022,Idul Fitri (2),(+7h),2022-05-10,Tuesday,81370.0
2022,Waisak,(H),2022-05-16,Monday,89556.0
2022,Waisak,(+7h),2022-05-23,Monday,89556.0
2022,Idul Adha,(H),2022-07-09,Saturday,69935.0
2022,Idul Adha,(+7h),2022-07-16,Saturday,59531.0
2022,1 Muharram,(H),2022-07-30,Saturday,59531.0
2022,1 Muharram,(+7h),2022-08-06,Saturday,72165.0
2022,Hari Kemerdekaan,(H),2022-08-17,Wednesday,34175.0
2022,Hari Kemerdekaan,(+7h),2022-08-24,Wednesday,34175.0
2022,Maulid Nabi,(H),2022-10-08,Saturday,76310.0
2022,Maulid Nabi,(+7h),2022-10-15,Saturday,76073.0
2022,Natal,(H),2022-12-25,Sunday,73365.0
